question,document,split
Why am I getting an empty list after I apply filters to my query in the homework?,83da208a64,tuning
Do I need to set up the index settings before loading the data into the index?,83da208a64,tuning
"In the homework, what should I check first if my search results come back empty after filtering?",83da208a64,tuning
Could the issue be that I added the documents before configuring the index settings?,83da208a64,tuning
What might cause filters and queries to stop working even though the data was indexed?,83da208a64,holdout
How can I make sure the Python interpreter I’m using is the one inside the current project’s .venv?,91675fa206,tuning
"If I want each project to have its own virtual environment, what steps should I follow with uv?",91675fa206,tuning
"Why does uv seem to keep picking up the environment from my previous folder, and how do I switch it to the current one?",91675fa206,tuning
What should I do if my shell is still pointing to an old .venv after I switch to a different project?,91675fa206,tuning
How do I stop uv from using a virtual environment from another project folder?,91675fa206,holdout
What should I use in GitHub Codespaces instead of storing API keys in local files?,8b2f5e9d04,tuning
What tool should I use so my API key gets loaded automatically when I enter a project folder?,8b2f5e9d04,tuning
"If I’m using Python, what’s the easiest way to load variables from a .env file?",8b2f5e9d04,tuning
"Should I keep .env or .envrc files in my GitHub repo, or is there a safer way to handle them?",8b2f5e9d04,tuning
How do I make an .env file work without having to type export commands every time I open a terminal?,8b2f5e9d04,holdout
Why do the lessons recommend using uv instead of pip and virtualenv for setup?,f81dea8f7e,tuning
What is the main reason the course chose uv for managing Python versions and dependencies?,f81dea8f7e,tuning
What makes uv simpler or faster than using several separate Python tools?,f81dea8f7e,tuning
"Does uv replace tools like poetry, pyenv, pipx, and twine too?",f81dea8f7e,tuning
"If I already know how to use pip and virtualenv, do I still need to switch to uv for the course?",f81dea8f7e,holdout
When should I open my Codespace in the browser instead of using desktop VS Code?,830f3d2018,tuning
"If my Codespace seems to have lost my setup, what usually happened and how can I get things back?",830f3d2018,tuning
What can I try if my GitHub Codespace keeps getting stuck while connecting or finishing up?,830f3d2018,tuning
"If Codespaces keeps acting unreliable, is there another way to do the course work?",830f3d2018,tuning
"What happens to my files and changes if I stop, restart, rebuild, or delete a Codespace?",830f3d2018,holdout
I just found out about this course. Is it still possible for me to start now?,74eb249bbf,tuning
Is there still a way for me to participate if I missed the course launch?,74eb249bbf,tuning
"If I join late, can I still take part in the course activities?",74eb249bbf,tuning
Can I still earn a certificate if I begin the course after it has started?,74eb249bbf,tuning
Do late joiners have to submit their project by a certain deadline to get a certificate?,74eb249bbf,holdout
"If I combine the question and answer into one embedding, what’s the tradeoff?",5c4a8d2e60,tuning
"For vector search in this module, is it better to embed just the answer, just the question, or both together?",5c4a8d2e60,tuning
How should I decide which embedding setup is best for my dataset?,5c4a8d2e60,tuning
Why would embedding only the answer still work for retrieving the right result?,5c4a8d2e60,tuning
What’s the reason to embed only the question if users are searching with their own wording?,5c4a8d2e60,holdout
Why does uv show a message about failing to hardlink files in Codespaces?,acf8fa5356,tuning
What command should I add to my shell startup file so uv always uses copy mode?,acf8fa5356,tuning
"When I see the hardlink warning in GitHub Codespaces, does it mean the install actually failed?",acf8fa5356,tuning
"If uv can’t hardlink from the cache to the environment, what does it do instead?",acf8fa5356,tuning
How can I stop uv from showing the hardlink warning just for my current terminal session?,acf8fa5356,holdout
How do I set up the Gemini key so Kestra can use it in the flows and in the AI Copilot?,3860e5fe8b,tuning
"What environment variable names should I export for Gemini, OpenAI, and Tavily before launching Kestra?",3860e5fe8b,tuning
"Do I need to base64-encode the API keys before starting Kestra, and which ones are required for the different flows?",3860e5fe8b,tuning
"Inside a Kestra YAML flow, how do I reference the Gemini API key without including the SECRET_ prefix?",3860e5fe8b,tuning
"After I add the secret variables, do I need to restart Kestra or just save the file?",3860e5fe8b,holdout
"Once I inspect the response, which field names should I look for to find the generated text, usage, or function-call output?",4a2c64c6e7,tuning
"When I switch from OpenAI to another provider, what parts of the course code usually need to be changed in how the response is parsed?",4a2c64c6e7,tuning
"If the API returns a Pydantic object, how can I turn it into something readable before I search for token usage or tool calls?",4a2c64c6e7,tuning
What’s the best way to print an LLM response in a notebook versus in a regular Python script?,4a2c64c6e7,tuning
How do I look at the full response from a different LLM provider so I can figure out where the useful fields are?,4a2c64c6e7,holdout
What should I do if I get a message saying the current tracer provider can’t be overridden?,ba1d5f13e7,tuning
How can I set up a separate tracer provider for spans I create by hand?,ba1d5f13e7,tuning
Why does this tracing setup work differently in a script than it does in a Jupyter notebook?,ba1d5f13e7,tuning
"If I make a new tracer provider in my notebook, why do my traces still seem tied to the old exporter?",ba1d5f13e7,tuning
Why is my SQLite trace file staying empty even though I’m creating spans in a notebook?,ba1d5f13e7,holdout
"If I don’t want to subscribe to OpenAI, can I still complete the course tasks?",85384a18e5,tuning
Where can I find alternative APIs or tools to use for the course instead of OpenAI?,85384a18e5,tuning
Are there free or cheaper options I can use instead of OpenAI API for the assignments?,85384a18e5,tuning
Do I need to pay for the OpenAI API to finish the homework in this course?,85384a18e5,tuning
"Is paying for OpenAI required, or can I use a different service from the course resources?",85384a18e5,holdout
Is there a way to build a Kestra flow without typing YAML by hand?,bfe5502c30,tuning
How can I generate and send Kestra flows from my own editor without using the web UI?,bfe5502c30,tuning
Can Kestra create a workflow from a plain English description instead of me writing the steps myself?,bfe5502c30,tuning
"For simple automations, when would something like Zapier or n8n make more sense than Kestra?",bfe5502c30,tuning
"If I don’t want to edit workflows directly, what no-code or low-code options does Kestra offer?",bfe5502c30,holdout
Why would the context retrieved by my notebook be different from the context used in the video?,e2d595f23c,tuning
"Does a different document count mean I built the index wrong, or could the dataset have changed?",e2d595f23c,tuning
Why does my notebook show a different number of FAQ documents than what was in the video?,e2d595f23c,tuning
"If I download the newest FAQ data, can that change the answers my RAG system gives?",e2d595f23c,tuning
How can I get the same RAG result that was shown in the recorded lecture?,e2d595f23c,holdout
Where can I check which Gemini model IDs are currently available to use?,d51bbe2da0,tuning
Should I assume a Gemini model is permanently gone if I get a temporary 404 error?,d51bbe2da0,tuning
"If my Kestra flow gets a 404 because the Gemini model isn't available anymore, what should I change in the YAML file?",d51bbe2da0,tuning
"After switching to a different Gemini model in my Kestra setup, do I need to rerun the flow or restart Docker Compose?",d51bbe2da0,tuning
How do I update the model setting in docker-compose when Gemini says the model can't be found?,d51bbe2da0,holdout
How should I interpret the numbering of the files in Module 4?,57c8d3a1e4,tuning
Why do the lesson numbers in Module 4 jump from 6 to 11?,57c8d3a1e4,tuning
"What’s the reason the Module 4 filenames don’t go 07, 08, 09, and 10?",57c8d3a1e4,tuning
Are there any lessons missing between 06-search-tuning.md and 11-evaluation-intro.md?,57c8d3a1e4,tuning
Why does Module 4 seem to have two separate ranges of lesson filenames?,57c8d3a1e4,holdout
"After I click my Ask button, why does my session flag seem to flip back to True even after I press one of the feedback buttons?",2e729f1271,tuning
"How can I make sure a user can only leave feedback one time for each submission, like just +1 or -1?",2e729f1271,tuning
Why does `st.session.submitted` get reassigned again when I’m trying to track whether feedback was already given?,2e729f1271,tuning
Where can I find the fix for the session state issue where the submitted value keeps changing after a feedback button click?,2e729f1271,tuning
What’s the best way to disable the feedback buttons until the user has actually submitted text?,2e729f1271,holdout
Why would using the wrong dataset name make the DuckDB connection fail or behave oddly?,c306f20bf3,tuning
"In the deployment lesson, why does the dashboard attach call need a different dataset name than the one shown in the example?",c306f20bf3,tuning
Is the dataset name in the dashboard snippet supposed to match the filesystem pipeline or the REST API pipeline?,c306f20bf3,tuning
What should I change in the attach snippet if my pipeline writes to a dataset called traces instead of agent_logs?,c306f20bf3,tuning
How can I tell which dataset name my REST API pipeline is actually using before I connect the dashboard?,c306f20bf3,holdout
Am I permitted to use Evidently as part of my capstone project?,ec22c5eb86,tuning
Would it be acceptable to use Evidently in the project I submit for the capstone?,ec22c5eb86,tuning
"For the capstone, is it okay to use Evidently?",ec22c5eb86,tuning
Can I include Evidently in my capstone work?,ec22c5eb86,tuning
Is Evidently allowed for the capstone project?,ec22c5eb86,holdout
Where do I check the deadlines and turn in my homework answers?,04919992b3,tuning
What’s the usual sequence for working through each week of the course?,04919992b3,tuning
Where should I begin if I’m just joining the course and want to find all the main materials?,04919992b3,tuning
"Can I start the course at any time, or do I need to wait for a specific date?",04919992b3,tuning
How do the homework tasks usually relate to the lesson videos and notebooks?,04919992b3,holdout
Is DLT open to outside contributions for adding new connectors like ClickHouse or StarRocks?,cd19f122f3,tuning
Does DLT currently support ClickHouse or StarRocks connectors?,cd19f122f3,tuning
Are there any built-in DLT connectors for ClickHouse right now?,cd19f122f3,tuning
"Can I use DLT with StarRocks, or is connector support missing for that database?",cd19f122f3,tuning
"If DLT doesn’t have ClickHouse or StarRocks connectors yet, can the community add them?",cd19f122f3,holdout
Is it okay to run the assignment with a local model or another API provider?,ee43413718,tuning
"If I use another provider, do I need to change the code because of different response formats or tokenizers?",ee43413718,tuning
"Do I have to use the suggested model, or can I switch to something like OpenAI, Gemini, or Groq?",ee43413718,tuning
Can I choose a different LLM provider for the homework instead of the recommended one?,ee43413718,tuning
Will I need a paid service if I use a different model provider for the homework?,ee43413718,holdout
"In a long-running or looping workflow, how can token tracking act as a safety check?",a4adc70f41,tuning
How does monitoring token usage help prevent surprise LLM bills in a Kestra flow?,a4adc70f41,tuning
What can you learn from token usage numbers when you're trying to make prompts more efficient?,a4adc70f41,tuning
Where in a Kestra AI task can you get the token usage information from the LLM response?,a4adc70f41,tuning
Why do Kestra AI workflows keep track of token counts instead of just the final output?,a4adc70f41,holdout
What should I use instead of the Responses API if I want parsed output from a chat-completions-compatible model?,341f71f28c,tuning
How do I set up the Pydantic classes for a list of FAQ questions and answers?,341f71f28c,tuning
How do I get Gemini to return a Pydantic-structured result using the OpenAI SDK?,341f71f28c,tuning
"Do I need to manually parse JSON after the model responds, or is the parsed object available directly?",341f71f28c,tuning
What does the `chat.completions.parse` call look like when using Gemini through Google's OpenAI-compatible endpoint?,341f71f28c,holdout
"If my provider says the request is too large, what can I change so the prompt fits without relying on retries?",01517c80df,tuning
Why would I get a 404 if I use an OpenAI model name with Groq?,01517c80df,tuning
How should I set up the homework code if I want to use Groq instead of OpenAI?,01517c80df,tuning
What should I do about the cost field if the provider’s pricing is different from the course OpenAI setup?,01517c80df,tuning
Which parts of the RAGWithMetrics class need to be changed for a provider that works through an OpenAI-compatible chat endpoint?,01517c80df,holdout
"What other AI providers can I use with Kestra if I don’t want to use Gemini, and can I point it at a local model too?",f442efe5b4,tuning
"If I switch from one AI provider to another in a Kestra flow, do I need to change the rest of the flow or just the provider settings?",f442efe5b4,tuning
Why does the course recommend Gemini if Kestra works with so many different AI providers?,f442efe5b4,tuning
How do I use an OpenAI-compatible service like Groq or DeepSeek in Kestra if it doesn’t have its own plugin?,f442efe5b4,tuning
What’s the difference between Kestra’s generic AI plugin and the provider-specific plugins like the OpenAI or Gemini ones?,f442efe5b4,holdout
What is the location of the dlt workshop content in the 2026 cohort materials?,e00ceb24be,tuning
How do I access the current workshop resources for the dlt session?,e00ceb24be,tuning
Which directory should I open to get the dlt workshop materials for this cohort?,e00ceb24be,tuning
Where can I find the latest dlt workshop files and the recording?,e00ceb24be,tuning
Is there a folder in the repo that has the current dlt workshop instructions and video link?,e00ceb24be,holdout
What does LangChain help with in LLM apps?,b7cdde6b25,tuning
Why is it better to understand prompting and retrieval before relying on a framework?,b7cdde6b25,tuning
Why do we build the pieces ourselves before using LangChain?,b7cdde6b25,tuning
"How is learning the core LLM pieces first similar to learning HTML, CSS, and JavaScript before React?",b7cdde6b25,tuning
What parts of a RAG system do we learn from scratch in this course?,b7cdde6b25,holdout
Is there a way to get the names of every table in the db?,e394e6f738,tuning
Which db function shows me all existing table names?,e394e6f738,tuning
"If I want to check what tables are available, what should I use?",e394e6f738,tuning
What method should I call if I want to list the database tables?,e394e6f738,tuning
How can I see all the tables that are currently in the database?,e394e6f738,holdout
What command creates the basic dlt project structure for a filesystem source with DuckDB as the destination?,6bceeebf04,tuning
What command should I run to start a new dlt setup for filesystem sources and DuckDB?,6bceeebf04,tuning
"If I want to build a new dlt pipeline from cloud files, what is the first setup step?",6bceeebf04,tuning
How do I initialize a fresh dlt project for loading data from a file system into DuckDB?,6bceeebf04,tuning
Where can I find the tutorial or docs for creating a filesystem-to-DuckDB dlt project?,6bceeebf04,holdout
Can I start evaluating projects before the project list is made available?,a8a7fef016,tuning
"I already turned in my project, so when do I get assigned other projects to evaluate?",a8a7fef016,tuning
"Is there any way for me to pick which projects I’ll review, or is that decided for me?",a8a7fef016,tuning
"If the submission deadline has already passed, what happens next with project reviews?",a8a7fef016,tuning
Why am I not seeing any projects to review yet after submitting mine?,a8a7fef016,holdout
Do I need to create a Dockerfile and update docker-compose for a Streamlit app to run properly in a container?,e8df9f0d12,tuning
"How can I fix the ""streamlit: executable file not found in $PATH"" error when starting my app with docker-compose?",e8df9f0d12,tuning
What should I check in my Docker setup if the Streamlit app works locally but fails inside docker-compose?,e8df9f0d12,tuning
Why does docker-compose complain that it can't find the streamlit executable even though the app runs outside Docker?,e8df9f0d12,tuning
What command should I use after changing my Docker and compose files to rebuild the Streamlit app container?,e8df9f0d12,holdout
What command lets me increase or remove the column width limit when Pandas truncates text?,641aedbbf5,tuning
How do I make Pandas display the full text in a column instead of cutting it off?,641aedbbf5,tuning
"Why does Pandas only show part of my long text values, and how can I make it show everything?",641aedbbf5,tuning
What setting should I change if a long explanation column is showing ellipses in my dataframe?,641aedbbf5,tuning
Is there a way to see the complete judge LLM explanation text in the notebook output?,641aedbbf5,holdout
What happens if my part of a joint project can’t be graded separately from my teammate’s part?,0fab61eca2,tuning
Can we discuss or plan a capstone together and still submit separate projects?,0fab61eca2,tuning
"Can I work on the capstone with other students, or does it have to be just me?",0fab61eca2,tuning
Does each person need their own repository for a shared capstone idea?,0fab61eca2,tuning
"If two people want to build one larger system, how should the project be split so it still counts?",0fab61eca2,holdout
"If Gemini keeps rate-limiting me during dataset generation, what other model or service could I use instead?",c1e9f4b820,tuning
What should I do if I’ve already spent a while generating examples and then the API limit cuts me off?,c1e9f4b820,tuning
Why does adding a short sleep in my loop still end up hitting the free Gemini limit when I’m generating the ground-truth data?,c1e9f4b820,tuning
How can I make my threaded API calls less likely to run into rate limits?,c1e9f4b820,tuning
Is there a way to continue the ground-truth generation from where it stopped after a quota error?,c1e9f4b820,holdout
"If I choose a non-Python language for the capstone, what should I include in the README so the reviewer can run it?",ea815eb858,tuning
Would using another stack make grading or reproduction harder for the reviewer?,ea815eb858,tuning
"Is it okay to do the assignments in something besides Python, like JavaScript or Go?",ea815eb858,tuning
Are Python-based examples and course materials the default expectation for the homework and final project?,ea815eb858,tuning
"If I submit a project in Go or another language, do I need to give setup steps for Windows, macOS, and Linux?",ea815eb858,holdout
What name shows up on the leaderboard if I don’t want my real name visible?,651ba06b34,tuning
"If I enter my real name for the certificate, will it also appear on the public leaderboard or get shared anywhere else?",651ba06b34,tuning
Can I keep my certificate name private while still using a different public display name?,651ba06b34,tuning
"Is the name on my certificate the same as my public profile name, or are those set separately?",651ba06b34,tuning
Where do I change the nickname that other people see versus the name printed on my certificate?,651ba06b34,holdout
"Do I need to expect a live class for every module, or are the lessons mostly recorded?",d65e05bd7a,tuning
Is there an optional place to get extra support or office hours beyond the free course materials?,d65e05bd7a,tuning
Where can I go if I get stuck on a module and need help from others?,d65e05bd7a,tuning
Are the course videos and materials stored somewhere I can access directly on my own?,d65e05bd7a,tuning
How will I know when any live sessions for the course are happening?,d65e05bd7a,holdout
Who will review my capstone project after I submit it?,9a2e2d2008,tuning
Which evaluation rules should the peer reviewers follow when scoring the project?,9a2e2d2008,tuning
What happens if I don’t do the required peer reviews for the capstone?,9a2e2d2008,tuning
Do I have to grade other students’ projects too?,9a2e2d2008,tuning
How is the final grade for the capstone determined?,9a2e2d2008,holdout
What command do I use after installing Ollama to start using LLaMA 3 locally?,1d0b969028,tuning
What’s the easiest way to set up the Ollama Python package for use in a script?,1d0b969028,tuning
"How do I install Ollama on my Mac, Windows PC, or Linux machine?",1d0b969028,tuning
Can you show me a simple Python example of sending a chat request with Ollama?,1d0b969028,tuning
How can I check whether the Ollama server is running on my computer?,1d0b969028,holdout
What are some options for running a model locally so I don’t need an external API key?,c6ff9083c0,tuning
"If I want to use a different LLM service, do I need to change the course code a lot or just a few settings?",c6ff9083c0,tuning
"Can I follow the course if OpenAI is blocked where I live, and what should I use instead?",c6ff9083c0,tuning
"If my computer can’t run the model I want, can I rent a GPU somewhere and still use the course code?",c6ff9083c0,tuning
"Is it okay to use providers like Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral with the course?",c6ff9083c0,holdout
Why does the course suggest using a different codespace for Module 2 instead of keeping everything in the same one?,1e829a8c6f,tuning
"Do I have to create a separate GitHub repository for the vector search module, or can I just start another codespace from my current repo?",1e829a8c6f,tuning
"If I finish Module 2 work in a codespace, can I delete that codespace afterward without affecting my repo?",1e829a8c6f,tuning
Should I commit my Module 2 changes to GitHub before removing the codespace?,1e829a8c6f,tuning
"Is setting up the Module 2 environment supposed to take a lot of time, or is it meant to be pretty fast?",1e829a8c6f,holdout
How do I make FastEmbed load a model completely offline inside Docker?,6609b934b6,tuning
What cache directory should I use so FastEmbed can find the model in a container?,6609b934b6,tuning
"If I already have a downloaded FastEmbed model folder, is there a way to point directly to it instead of using the cache?",6609b934b6,tuning
Can I use offline loading settings with SparseTextEmbedding or TextCrossEncoder too?,6609b934b6,tuning
Why would FastEmbed still try to reach Hugging Face when I thought the model was already downloaded?,6609b934b6,holdout
"Can I still send in my homework as long as the online form is open, even if the deadline is over?",a9353fadfe,tuning
"If the homework deadline has already gone by but the submission form is still open, am I still allowed to turn it in?",a9353fadfe,tuning
"If I missed the deadline but the submission page is still available, should I submit my answers anyway?",a9353fadfe,tuning
At what point am I no longer able to submit homework: when the deadline passes or when the form closes?,a9353fadfe,tuning
"Once the due date passes, do submissions stop immediately, or only after the form is closed?",a9353fadfe,holdout
Is it okay if my project is similar to something other students have done before?,897a350476,tuning
Do I have to tell the course team about my project idea before I start working on it?,897a350476,tuning
Can I begin my capstone project without reserving a topic first?,897a350476,tuning
Are there example projects from past years that I can check to judge the scope of my idea?,897a350476,tuning
Where should I go if I want feedback on my project idea before I build it?,897a350476,holdout
How can I remove every Docker volume using the terminal?,66ccbb7da0,tuning
"Is there a quick way to clear all containers, images, and volumes together with Docker commands?",66ccbb7da0,tuning
What command can I use to wipe out all Docker images from my machine?,66ccbb7da0,tuning
What shell commands should I run if I want to clean up all Docker resources at once?,66ccbb7da0,tuning
"How do I force-delete every Docker container, even the ones that are still running?",66ccbb7da0,holdout
How can I resolve the Windows module not found error related to fbgemm.dll in PyTorch?,15e931476c,tuning
"Do I need Visual Studio, or is Visual Studio Code enough to fix the fbgemm.dll import error on Windows?",15e931476c,tuning
What should I install on Windows if I get a WinError 126 saying fbgemm.dll or one of its dependencies could not be found?,15e931476c,tuning
"If PyTorch fails to load fbgemm.dll on my Windows machine, what are the two fixes mentioned in the FAQ?",15e931476c,tuning
I’m seeing an error about torch\lib\fbgemm.dll being missing on Windows—what’s the recommended thing to try first?,15e931476c,holdout
What should I do if the Copilot still refuses to work after I set the key?,04440cab11,tuning
"Why does the AI Copilot say it can only help with Kestra flows, and what setting do I need to change?",04440cab11,tuning
"Which API key should I export for the Copilot itself, and is it different from the one used by the flows?",04440cab11,tuning
"Could this error be caused by hitting Gemini’s free-tier limit, and how would I know?",04440cab11,tuning
How can I check whether my Gemini key is actually being picked up before starting Kestra?,04440cab11,holdout
What extra tokens does the chat API add around each message?,bf0403d21b,tuning
Where does the extra token count come from when I compare my local count with the API response?,bf0403d21b,tuning
Why does a chat.completions request count more tokens than the text I actually typed?,bf0403d21b,tuning
Why can the token count I get from tiktoken be a little lower than the number OpenAI shows?,bf0403d21b,tuning
"Could spaces, newlines, or special characters change the token total in OpenAI?",bf0403d21b,holdout
What kinds of messy or repeated text should I remove before using documents for RAG?,649c280e6d,tuning
Why is it important to keep metadata when setting up documents for retrieval?,649c280e6d,tuning
What does it mean to chunk documents in a way that keeps related information together?,649c280e6d,tuning
"When preparing documents for retrieval, what context should I make sure to keep?",649c280e6d,tuning
Do I need to convert my source files into JSON before chunking them for RAG?,649c280e6d,holdout
Why am I seeing an IndexError when I try to get the top matching chunk?,1a7b27c4df,tuning
What should I check if the best chunk lookup is failing with a list index error?,1a7b27c4df,tuning
How should I create embeddings so they line up correctly with my document chunks?,1a7b27c4df,tuning
What causes the embeddings array to have a different length from the list of chunks?,1a7b27c4df,tuning
Why does the number of rows in my embedding matrix need to match the number of chunks?,1a7b27c4df,holdout
"Do I need to include only the flow YAML files, or should I also add any scripts my Kestra flows use?",f29f622684,tuning
"For the Kestra homework, what exactly should I upload to the public repository if most of the work was done in the UI?",f29f622684,tuning
How do I handle the written answers for the Module 3 questions when I submit the repo link?,f29f622684,tuning
Where should I place the Kestra flow files inside the repository before submitting the link?,f29f622684,tuning
"Is a README required in the repo for the Module 3 submission, or is it optional?",f29f622684,holdout
My code says the table doesn't exist. What exact table name should I use with db.open_table()?,e95bfafc0e,tuning
Which table should I open in line 3 if I get a FileNotFoundError for notion_pages___homework?,e95bfafc0e,tuning
"If main() fails because notion_pages___homework is missing, what line needs to be corrected?",e95bfafc0e,tuning
How do I fix the error saying I need to create the notion_pages___homework table first?,e95bfafc0e,tuning
What should the dbtable assignment look like when opening the homework table?,e95bfafc0e,holdout
Where in the OpenAI settings do I add funds so I can use the API with my project?,152af39a53,tuning
What should I check in `responses.create(model='...')` if my API request keeps failing after I add credits?,152af39a53,tuning
"After I add billing credits, do I need to create a new API key for my code to work again?",152af39a53,tuning
"Do I need to add money to my OpenAI account before the API will work, or is there any free usage?",152af39a53,tuning
Why am I getting a 429 RateLimitError when I try to call the OpenAI API from Python?,152af39a53,holdout
"Is it okay to submit a CLI, notebook, or Slack app as the project interface?",7318a90b14,tuning
Can I build my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14,tuning
"Does the course provide instructions for making the app interface, or do I need to handle that myself?",7318a90b14,tuning
What kinds of user-facing interfaces are acceptable for the project as long as it meets the grading criteria?,7318a90b14,tuning
Are there any rules about how the final project has to be presented to users?,7318a90b14,holdout
What should I do first if I’m not sure how to split up a big collection of long PDFs for retrieval?,6f2a8b3d10,tuning
Is it better to use fixed-size chunks or ask an LLM to break documents into sections?,6f2a8b3d10,tuning
"Would adding a short summary to each chunk help with search, and how would I use it?",6f2a8b3d10,tuning
"For documents like legal or financial PDFs, what kind of search setup works better than dense retrieval alone?",6f2a8b3d10,tuning
Are there any recommended tools for turning PDFs into cleaner text or markdown before chunking?,6f2a8b3d10,holdout
"Is it okay to use dlt in another Zoomcamp project, like the MLOps one?",d850a0e7ea,tuning
Can I directly apply the workshop examples in projects I’m building?,d850a0e7ea,tuning
